Date,Portfolio,S&P 500
2016-03-14,1.000000,1.000000
2016-03-15,1.001877,0.998370
2016-03-16,1.006302,1.004148
2016-03-17,1.007484,1.010519
2016-03-18,1.014670,1.014490
2016-03-21,1.013893,1.015929
2016-03-22,1.015257,1.015383
2016-03-23,1.004698,1.008682
2016-03-24,1.005216,1.008235
2016-03-28,1.003945,1.008831
2016-03-29,1.010935,1.018163
2016-03-30,1.012264,1.022630
2016-03-31,1.012713,1.020148
2016-04-01,1.013915,1.027097
2016-04-04,1.012058,1.023772
2016-04-05,1.006665,1.013546
2016-04-06,1.009215,1.024616
2016-04-07,1.001305,1.012355
2016-04-08,1.001587,1.015085
2016-04-11,1.006011,1.012703
2016-04-12,1.013661,1.022134
2016-04-13,1.023874,1.032458
2016-04-14,1.025926,1.032508
2016-04-15,1.021429,1.031366
2016-04-18,1.021312,1.038613
2016-04-19,1.030400,1.041889
2016-04-20,1.038448,1.042882
2016-04-21,1.036331,1.037273
2016-04-22,1.036117,1.037273
2016-04-25,1.032614,1.035486
2016-04-26,1.034514,1.037025
2016-04-27,1.025132,1.039159
2016-04-28,1.023378,1.029728
2016-04-29,1.021584,1.024169
2016-05-02,1.024343,1.032309
2016-05-03,1.017911,1.023325
2016-05-04,1.010219,1.017617
2016-05-05,1.007776,1.017418
2016-05-06,1.011980,1.021141
2016-05-09,1.003880,1.021985
2016-05-10,1.013179,1.034692
2016-05-11,1.011768,1.025013
2016-05-12,1.004965,1.025310
2016-05-13,1.001984,1.016376
2016-05-16,1.008443,1.026402
2016-05-17,1.008718,1.016822
2016-05-18,1.016807,1.017120
2016-05-19,1.014915,1.013596
2016-05-20,1.016595,1.019999
2016-05-23,1.016798,1.018609
2016-05-24,1.019737,1.031813
2016-05-25,1.027602,1.038812
2016-05-26,1.025310,1.039110
2016-05-27,1.026784,1.043577
2016-05-31,1.025345,1.041591
2016-06-01,1.024228,1.043726
2016-06-02,1.025192,1.046903
2016-06-03,1.024129,1.043776
2016-06-06,1.026642,1.049087
2016-06-07,1.024733,1.050725
2016-06-08,1.030211,1.054150
2016-06-09,1.028689,1.052710
2016-06-10,1.020884,1.042733
2016-06-13,1.014916,1.034692
2016-06-14,1.009144,1.032657
2016-06-15,1.012430,1.031217
2016-06-16,1.009924,1.034295
2016-06-17,1.011407,1.030443
2016-06-20,1.011863,1.037079
2016-06-21,1.009654,1.040023
2016-06-22,1.009195,1.038326
2016-06-23,1.015999,1.051848
2016-06-24,1.004001,1.014077
2016-06-27,0.986939,0.995915
2016-06-28,0.998311,1.013878
2016-06-29,1.010188,1.031141
2016-06-30,1.016501,1.045212
2016-07-01,1.019548,1.047407
2016-07-05,1.013682,1.039873
2016-07-06,1.019737,1.046110
2016-07-07,1.021485,1.045461
2016-07-08,1.030080,1.061029
2016-07-11,1.029480,1.064771
