Date,ABBN.VX,AIR.PA,AI.PA,ALV.F,VOW.F,VOLV-B.ST,ZURN.VX,CSCO,AAPL,FB,IAGG,GLD,BAC,GOOG,AA,DIS
2007-03-14,13.10,18.69,34.26,nan,86.34,84.62,174.92,21.74,11.66,nan,nan,63.94,41.79,223.78,68.94,28.74
2007-03-15,13.50,18.94,34.97,nan,86.79,87.89,176.24,21.71,11.60,nan,nan,63.98,42.07,222.87,70.10,28.79
2007-03-16,13.43,19.16,34.54,nan,88.21,88.20,177.03,21.86,11.61,nan,nan,64.62,41.66,220.21,69.27,28.64
2007-03-19,13.77,18.80,35.18,nan,88.52,88.82,179.67,22.12,11.81,nan,nan,64.74,42.29,223.39,70.26,29.05
2007-03-20,13.73,19.19,35.33,nan,89.34,89.28,181.38,22.16,11.85,nan,nan,65.27,42.62,222.42,70.49,29.29
2007-03-21,13.93,18.97,35.19,nan,91.91,91.31,182.44,22.53,12.16,nan,nan,65.82,43.54,228.05,70.04,29.97
2007-03-22,14.17,19.33,35.95,nan,93.85,92.55,185.74,22.18,12.17,nan,nan,65.76,43.36,230.79,69.70,30.10
2007-03-23,14.23,19.82,35.71,nan,99.64,91.31,185.74,22.03,12.12,nan,nan,65.15,43.40,230.68,70.74,29.81
2007-03-26,14.00,19.89,35.66,nan,96.11,90.84,184.68,22.16,12.42,nan,nan,65.84,43.29,232.27,70.70,30.01
2007-03-27,13.93,19.37,35.77,nan,95.96,89.44,183.76,21.81,12.37,nan,nan,65.70,43.53,231.58,70.35,29.53
2007-03-28,13.73,19.41,35.64,nan,93.69,89.28,182.57,21.62,12.08,nan,nan,66.05,42.63,230.71,69.48,29.17
2007-03-29,13.90,20.20,36.46,nan,95.69,91.31,184.81,21.39,12.15,nan,nan,65.65,42.98,230.23,69.68,29.30
2007-03-30,13.83,20.22,36.55,nan,95.12,91.46,185.08,21.47,12.04,nan,nan,65.74,42.84,228.85,70.14,29.34
2007-04-02,13.97,20.34,36.62,nan,94.56,92.86,185.08,21.36,12.13,nan,nan,65.85,42.34,229.04,70.18,29.37
2007-04-03,14.27,20.75,36.81,nan,94.77,93.80,187.72,21.74,12.24,nan,nan,65.83,42.70,236.06,71.63,29.75
2007-04-04,14.50,20.82,37.01,nan,94.11,92.86,186.40,21.95,12.21,nan,nan,66.81,42.73,235.28,71.38,29.52
2007-04-05,14.43,20.89,37.10,nan,93.69,90.37,187.06,21.92,12.27,nan,nan,66.86,42.70,235.52,71.57,29.75
2007-04-09,nan,nan,37.10,nan,nan,90.37,nan,22.04,12.13,nan,nan,66.53,42.70,233.87,72.15,29.75
2007-04-10,14.57,21.09,37.56,nan,93.18,92.55,187.06,21.86,12.21,nan,nan,67.16,42.88,233.02,72.21,29.81
2007-04-11,14.47,20.88,37.09,nan,93.79,92.71,187.87,21.69,12.00,nan,nan,67.08,42.41,232.03,72.58,29.47
2007-04-12,14.50,20.51,36.62,nan,93.84,92.71,190.60,21.84,11.94,nan,nan,66.99,42.22,233.46,72.56,29.54
2007-04-13,14.57,20.57,36.82,nan,94.16,92.71,190.05,22.44,11.69,nan,nan,67.84,42.33,232.91,72.66,29.58
2007-04-16,14.83,20.89,37.31,nan,94.81,93.33,192.50,22.39,11.85,nan,nan,68.40,43.01,236.90,72.29,29.84
2007-04-17,14.70,20.76,37.33,nan,96.93,94.26,193.05,22.58,11.71,nan,nan,68.00,43.07,236.16,71.94,29.95
2007-04-18,14.73,20.66,36.70,nan,97.45,93.02,193.05,22.60,11.71,nan,nan,68.38,43.51,237.77,71.32,29.75
2007-04-19,14.80,20.48,36.94,nan,97.32,92.55,192.64,22.44,11.70,nan,nan,67.53,42.75,235.59,71.03,29.75
2007-04-20,15.06,20.64,37.49,nan,96.56,95.04,194.14,22.70,11.79,nan,nan,68.70,42.86,241.00,71.11,30.06
2007-04-23,15.33,20.68,36.92,nan,95.81,96.91,194.95,22.36,12.12,nan,nan,68.26,42.41,239.30,70.66,29.89
